Company,Ticker,Strengths,Risks,PE,EPS,ROE,DebtEquity,RevenueGrowth,Score,Recommendation
Aarti Surfactants Limited,AARTISURF.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",22.094593,17.76,0.06545,49.926,0.188,-2,SELL
Aarvi Encon Limited,AARVI.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",13.374999,9.6,0.11412,24.178,0.313,1,SELL
Aavas Financiers Limited,AAVAS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],19.622217,75.44,0.13823,307.971,0.175,-1,SELL
Aban Offshore Limited,ABAN.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']",,-187.92,,,-0.617,-1,SELL
ABB India Limited,ABB.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",62.11649,83.44,,1.018,0.137,-2,SELL
Abbott India Limited,ABBOTINDIA.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",40.71012,710.02,0.40068,4.549,0.076,-1,SELL
Aditya Birla Capital Limited,ABCAPITAL.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",28.076612,12.4,0.10341,459.779,-0.031,-3,SELL
A B Cotspin India Limited,ABCOTS.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']",46.123596,8.9,0.12702,93.028,-0.34,-4,SELL
Allied Blenders and Distillers Limited,ABDL.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",66.690216,9.2,0.17039,66.738,0.144,-2,SELL
Aditya Birla Fashion and Retail Limited,ABFRL.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-6.5,-0.14866,84.682,-0.456,-4,SELL
A B Infrabuild Limited,ABINFRA.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']",49.527775,0.36,0.15856,58.087,-0.21,-4,SELL
Aditya Birla Lifestyle Brands Limited,ABLBL.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']",,,,266.809,0.037,-2,SELL
ABM International Limited,ABMINTLLTD.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-4.58,-0.28386998,109.454,-0.374,-4,SELL
Aditya Birla Real Estate Limited,ABREL.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-23.94,-0.070300005,144.576,-0.913,-4,SELL
Aditya Birla Sun Life AMC Limited,ABSLAMC.NS,"['Fair valuation', 'High profitability']","['High debt risk', 'Declining revenues']",22.943716,33.58,0.28410998,1.929,-0.026,-1,SELL
ACC Limited,ACC.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",9.790679,177.24,0.18207,2.435,0.286,1,SELL
Accelya Solutions India Limited,ACCELYA.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'High debt risk']",15.417455,84.56,,22.338,0.071,-2,SELL
Accuracy Shipping Limited,ACCURACY.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",30.578947,0.19,0.022820001,111.931,-0.247,-5,SELL
Action Construction Equipment Limited,ACE.NS,"['Fair valuation', 'High profitability']","['High debt risk', 'Declining revenues']",27.05347,35.16,0.26391,8.005,-0.016,-1,SELL
Ace Integrated Solutions Limited,ACEINTEG.NS,[],"['PE data missing', 'Weak profitability', 'Moderate debt level', 'Declining revenues']",,-1.93,-0.106920004,0.64,-0.946,-2,SELL
Archean Chemical Industries Limited,ACI.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",38.22849,13.83,0.09313,14.782,-0.03,-5,SELL
Andhra Cements Limited,ACL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-17.92,-1.0503299,1222.06,0.419,-2,SELL
Acme Solar Holdings Limited,ACMESOLAR.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],28.998745,7.97,0.14244,271.784,0.585,-1,SELL
Acutaas Chemicals Limited,ACUTAAS.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'Moderate debt level']",60.23688,27.44,0.16902,0.58,0.241,0,SELL
Adani Energy Solutions Limited,ADANIENSOL.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",53.919277,18.83,0.10536,186.654,0.067,-3,SELL
Adani Enterprises Limited,ADANIENT.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']",34.359013,64.9,0.15823,177.767,-0.06,-4,SELL
Adani Green Energy Limited,ADANIGREEN.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",85.69865,11.88,0.089779995,296.223,-0.015,-5,SELL
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],26.896364,55.29,0.18591999,81.556,0.297,-1,SELL
Adani Power Limited,ADANIPOWER.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],23.271687,6.11,0.19976999,81.251,0.009,-2,SELL
ADF Foods Limited,ADFFOODS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],29.723892,6.99,0.15484999,10.727,0.008,-2,SELL
Archidply Decor Limited,ADL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",4047.0002,0.02,0.00014999999,37.099,-0.067,-5,SELL
Ador Welding Limited,ADOR.NS,"['Average profitability', 'Low debt', 'Slow revenue growth']",['Stock may be overvalued'],38.14254,27.08,0.112959996,0.4,0.044,0,SELL
Adroit Infotech Limited,ADROITINFO.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",32.64516,0.31,0.02116,29.363,0.618,-3,SELL
Allied Digital Services Limited,ADSL.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",24.390553,6.35,0.0617,17.707,0.151,-2,SELL
Advance Agrolife Limited,ADVANCE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",30.907269,3.99,,79.756,0.279,-2,SELL
Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS,"['Fair valuation', 'High profitability']","['Moderate debt level', 'Declining revenues']",21.854477,2.68,0.34858,0.576,-0.091,1,SELL
Advent Hotels International Limited,ADVENTHTL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",inf,0.0,0.01467,80.095,0.031,-4,SELL
Advanced Enzyme Technologies Limited,ADVENZYMES.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],22.460136,13.17,0.103190005,2.26,0.263,-1,SELL
Aegis Logistics Limited,AEGISLOG.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",35.333332,20.4,0.13468,28.45,0.311,-2,SELL
Aegis Vopak Terminals Limited,AEGISVOPAK.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",196.8254,1.26,,42.268,0.262,-2,SELL
Aequs Limited,AEQUS.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']",,-0.73,,108.0,0.17,-1,SELL
Aeroflex Enterprises Limited,AEROENTER.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",13.167894,6.79,0.09192,5.391,0.251,0,SELL
Aeroflex Industries Limited,AEROFLEX.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",54.638588,3.68,0.14156,2.584,0.167,-2,SELL
Aeroflex Neu Limited,AERONEU.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",130.96552,0.58,0.01604,27.163,0.018,-4,SELL
Aether Industries Limited,AETHER.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",57.791813,14.65,0.08733,9.242,0.384,-3,SELL
Afcons Infrastructure Limited,AFCONS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],28.505117,13.68,0.10935,66.143,0.01,-2,SELL
Affle 3i Limited,AFFLE.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",59.575394,29.91,0.14091,1.18,0.191,-2,SELL
Affordable Robotic & Automation Limited,AFFORDABLE.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",153.99258,1.35,0.01497,69.146,0.143,-3,SELL
Akme Fintrade (India) Limited,AFIL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-3.22,0.09523,95.75,0.3,-2,SELL
Abans Financial Services Limited,AFSL.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",7.7638464,26.0,0.11112001,57.54,9.645,1,SELL
Agarwal Industrial Corporation Limited,AGARIND.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",13.157563,55.66,0.13633999,63.478,-0.248,-1,SELL
Dr. Agarwal's Health Care Limited,AGARWALEYE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",138.37912,3.64,0.08126,48.682,0.197,-3,SELL
AGI Greenpac Limited,AGI.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']",13.565912,54.39,0.17052001,20.88,0.004,0,SELL
Agi Infra Limited,AGIIL.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",39.968204,6.29,0.25873,42.327,0.1,-1,SELL
Agri-Tech (India) Limited,AGRITECH.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",,-0.73,,,,0,SELL
Agro Phos India Limited,AGROPHOS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],15.798388,2.48,0.17263001,37.092,0.272,-1,SELL
AGS Transact Technologies Limited,AGSTRA.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']",,-13.96,,199.958,-0.439,-3,SELL
Anlon Healthcare Limited,AHCL.NS,"['Fair valuation', 'Strong revenue growth']","['ROE data missing', 'High debt risk']",28.561886,5.09,,26.981,1.16,-1,SELL
Ahlada Engineers Limited,AHLADA.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",27.65746,1.81,0.01694,26.993,-0.094,-4,SELL
Asian Hotels (East) Limited,AHLEAST.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",166.2125,0.8,0.00599,154.746,0.132,-3,SELL
Ahluwalia Contracts (India) Limited,AHLUCONT.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],25.704441,39.18,0.14632,3.881,0.164,-1,SELL
AIA Engineering Limited,AIAENG.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",32.202785,120.62,0.16348,13.852,0.003,-3,SELL
Authum Investment & Infrastructure Limited,AIIL.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",12.213233,236.08,0.27507,20.291,-0.468,1,SELL
Airan Limited,AIRAN.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Moderate debt level']",100.666664,0.18,0.01619,0.678,0.002,-2,SELL
Airo Lam limited,AIROLAM.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",56.233337,1.8,0.10349,117.642,0.194,-2,SELL
Ajanta Pharma Limited,AJANTPHARM.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",34.41037,77.93,0.24365999,5.698,0.141,0,SELL
Ajax Engineering Limited,AJAXENGG.NS,"['Fair valuation', 'High profitability', 'Low debt', 'Strong revenue growth']",[],26.974463,21.93,0.22328,0.043,0.478,4,BUY
Ajmera Realty & Infra India Limited,AJMERA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],29.277914,32.96,0.10551,47.19,0.095,-2,SELL
Ajooni Biotech Limited,AJOONI.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",22.1,0.2,0.045500003,9.879,0.225,-2,SELL
Akash Infra-Projects Limited,AKASH.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",27.619564,0.92,0.018509999,102.888,0.311,-2,SELL
Akg Exim Limited,AKG.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",59.857143,0.21,0.012610001,20.638,-0.312,-5,SELL
AKI India Limited,AKI.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",36.578945,0.19,0.0207,26.026,1.03,-3,SELL
Akshar Spintex Limited,AKSHAR.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-0.09,-0.10443,5.75,-0.037,-4,SELL
AksharChem India Limited,AKSHARCHEM.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",103.05439,2.39,0.00733,28.443,0.131,-3,SELL
Aksh Optifibre Limited,AKSHOPTFBR.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']",,-1.28,-1.79515,,0.194,0,SELL
Akums Drugs and Pharmaceuticals Limited,AKUMS.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",21.420345,20.84,0.107489996,2.85,-0.015,-3,SELL
Akzo Nobel India Limited,AKZOINDIA.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",7.1456676,437.16,1.08163,3.157,-0.15,1,SELL
Alankit Limited,ALANKIT.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",15.73913,0.69,0.06554,7.408,0.356,-2,SELL
Albert David Limited,ALBERTDAVD.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-26.43,-0.03737,10.514,-0.114,-4,SELL
Alembic Limited,ALEMBICLTD.NS,"['Low valuation', 'Average profitability', 'Low debt', 'Slow revenue growth']",['Stock appears undervalued'],7.997621,12.61,0.13549,0.496,0.056,3,HOLD
Alicon Castalloy Limited,ALICON.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",41.39135,20.34,0.055409998,57.003,-0.077,-5,SELL
Alivus Life Sciences Limited,ALIVUS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],21.024334,43.15,0.191,2.005,0.16,-1,SELL
Alkali Metals Limited,ALKALI.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']",,-2.6,-0.060879998,,0.053,-1,SELL
Alkem Laboratories Limited,ALKEM.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],28.012552,197.59,0.18741,17.056,0.172,-1,SELL
Alkyl Amines Chemicals Limited,ALKYLAMINE.NS,"['Low debt', 'Slow revenue growth']","['Stock may be overvalued', 'ROE data missing']",44.41573,35.6,,0.394,0.015,0,SELL
Allcargo Logistics Limited,ALLCARGO.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing']",53.449997,0.2,0.01914,,1.119,-1,SELL
Alldigi Tech Limited,ALLDIGI.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk'],17.439983,47.07,0.27868,33.037,0.122,1,SELL
All Time Plastics Limited,ALLTIME.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",44.55858,5.89,,22.351,0.125,-2,SELL
Almondz Global Securities Limited,ALMONDZ.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",15.0353985,1.13,0.07742,18.84,-0.017,-4,SELL
Alok Industries Limited,ALOKINDS.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']",,-1.37,,,0.063,0,SELL
Alpa Laboratories Limited,ALPA.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'Debt data missing']",8.628248,8.85,0.10696,,0.053,2,HOLD
Alphageo (India) Limited,ALPHAGEO.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Declining revenues']",,-25.98,-0.06102,,-0.722,-2,SELL
Alps Industries Limited,ALPSINDUS.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']",,-16.97,,,-0.701,-1,SELL
Amanta Healthcare Limited,AMANTA.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",31.131195,3.43,,88.22,0.062,-3,SELL
Amber Enterprises India Limited,AMBER.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",102.97214,64.6,0.077810004,74.27,-0.022,-5,SELL
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",87.655174,0.29,0.00472,74.724,0.033,-4,SELL
Ambika Cotton Mills Limited,AMBIKCO.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']",11.77193,108.3,0.06775,,-0.004,0,SELL
Ambuja Cements Limited,AMBUJACEM.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],24.146715,22.97,0.11124,1.829,0.221,-1,SELL
AMD Industries Limited,AMDIND.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-1.61,-0.0196,53.424,0.094,-3,SELL
Amj Land Holdings Limited,AMJLAND.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'Debt data missing']",9.831702,5.11,0.09024,,0.126,2,HOLD
Amines & Plasticizers Limited,AMNPLST.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",29.13526,6.58,0.14319,11.324,-0.201,-3,SELL
Amrutanjan Health Care Limited,AMRUTANJAN.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'Moderate debt level']",34.905563,19.59,0.17722,0.565,0.071,-1,SELL
Anand Rathi Wealth Limited,ANANDRATHI.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",73.379295,41.34,0.49627998,9.912,0.231,0,SELL
Anant Raj Limited,ANANTRAJ.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",38.517365,14.4,0.119169995,12.727,0.23,-2,SELL
ANDHRA PAPER LIMITED,ANDHRAPAP.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",64.689316,1.03,0.010620001,13.63,-0.162,-5,SELL
The Andhra Sugars Limited,ANDHRSUGAR.NS,"['Fair valuation', 'Low debt', 'Slow revenue growth']",['Weak profitability'],16.11879,4.63,0.03744,0.427,0.131,1,SELL
Angel One Limited,ANGELONE.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",29.786371,83.79,0.14078,76.349,-0.23,-3,SELL
Anik Industries Limited,ANIKINDS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",91.789474,0.57,0.00382,4.702,1.579,-3,SELL
Ankit Metal & Power Limited,ANKITMETAL.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']",,-18.2,,,-0.255,-1,SELL
Anmol India Limited,ANMOL.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",10.050725,1.38,0.07126,185.097,0.229,0,SELL
Ansal Properties & Infrastructure Limited,ANSALAPI.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']",,-10.1,,,0.71,1,SELL
Antelopus Selan Energy Limited,ANTELOPUS.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",9.564919,43.9,,,,2,HOLD
Antarctica Limited,ANTGRAPHIC.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-0.03,0.07565,65.28,11.587,-2,SELL
Anthem Biosciences Limited,ANTHEM.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",70.92733,9.22,0.20826,3.997,0.048,-1,SELL
Anuh Pharma Limited,ANUHPHR.NS,"['Fair valuation', 'Average profitability', 'Low debt', 'Slow revenue growth']",[],20.862694,3.86,0.122889996,0.07,0.12,2,HOLD
The Anup Engineering Limited,ANUP.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",37.207626,59.77,0.20268999,24.782,0.203,0,SELL
Anupam Rasayan India Limited,ANURAS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",97.046295,13.61,0.069409996,37.505,1.488,-3,SELL
Apar Industries Limited,APARINDS.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",36.896816,233.76,0.20971,14.499,0.231,0,SELL
Anjani Portland Cement Limited,APCL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-14.25,-0.18403,223.154,0.592,-2,SELL
Apcotex Industries Limited,APCOTEXIND.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",26.577635,14.04,0.12952,23.281,-0.041,-3,SELL
Apex Frozen Foods Limited,APEX.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",37.982094,7.26,0.04533,7.972,0.195,-3,SELL
APL Apollo Tubes Limited,APLAPOLLO.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",49.9894,37.73,0.2481,15.534,0.091,-1,SELL
Alembic Pharmaceuticals Limited,APLLTD.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],26.367575,32.32,0.12380999,28.004,0.159,-1,SELL
Apollo Micro Systems Limited,APOLLO.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",109.20407,2.45,0.09664,33.483,0.402,-3,SELL
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",61.588776,116.19,0.19795,83.606,0.128,-2,SELL
Apollo Pipes Limited,APOLLOPIPE.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",46.175114,6.51,0.03255,7.855,-0.059,-5,SELL
Apollo Tyres Limited,APOLLOTYRE.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",40.496395,12.49,0.05313,29.09,0.061,-4,SELL
Apollo Sindoori Hotels Limited,APOLSINHOT.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",28.881577,42.56,0.07571,53.838,0.108,-2,SELL
Aptech Limited,APTECHT.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",25.347595,3.74,0.090299994,5.75,0.066,-3,SELL
Aptus Value Housing Finance India Limited,APTUS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],16.670622,16.85,0.19451,157.024,0.243,-1,SELL
Archidply Industries Limited,ARCHIDPLY.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",130.53622,0.69,0.01277,178.165,0.35,-3,SELL
Archies Limited,ARCHIES.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-0.31,-0.00786,33.451,-0.089,-4,SELL
Amara Raja Energy & Mobility Limited,ARE&M.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],18.695917,49.23,0.12014,4.005,0.067,-2,SELL
Rajdarshan Industries Limited,ARENTERP.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Declining revenues']",,-0.64,-0.00856,,-0.755,-2,SELL
Arfin India Limited,ARFIN.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",165.85716,0.42,0.045110002,92.774,-0.142,-5,SELL
