Company,Ticker,Strengths,Risks
Affle 3i Limited,AFFLE.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Affordable Robotic & Automation Limited,AFFORDABLE.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Akme Fintrade (India) Limited,AFIL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Abans Financial Services Limited,AFSL.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Agarwal Industrial Corporation Limited,AGARIND.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Dr. Agarwal's Health Care Limited,AGARWALEYE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
AGI Greenpac Limited,AGI.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Agi Infra Limited,AGIIL.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Agri-Tech (India) Limited,AGRITECH.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']"
Agro Phos India Limited,AGROPHOS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
AGS Transact Technologies Limited,AGSTRA.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']"
Anlon Healthcare Limited,AHCL.NS,"['Fair valuation', 'Strong revenue growth']","['ROE data missing', 'High debt risk']"
Ahlada Engineers Limited,AHLADA.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
Asian Hotels (East) Limited,AHLEAST.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Ahluwalia Contracts (India) Limited,AHLUCONT.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
AIA Engineering Limited,AIAENG.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Authum Investment & Infrastructure Limited,AIIL.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Airan Limited,AIRAN.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Moderate debt level']"
Airo Lam limited,AIROLAM.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Ajanta Pharma Limited,AJANTPHARM.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Ajax Engineering Limited,AJAXENGG.NS,"['Fair valuation', 'High profitability', 'Low debt', 'Strong revenue growth']",[]
Ajmera Realty & Infra India Limited,AJMERA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Ajooni Biotech Limited,AJOONI.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Akash Infra-Projects Limited,AKASH.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Akg Exim Limited,AKG.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
AKI India Limited,AKI.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Akshar Spintex Limited,AKSHAR.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
AksharChem India Limited,AKSHARCHEM.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Aksh Optifibre Limited,AKSHOPTFBR.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']"
Akums Drugs and Pharmaceuticals Limited,AKUMS.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Akzo Nobel India Limited,AKZOINDIA.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Alankit Limited,ALANKIT.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Albert David Limited,ALBERTDAVD.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Alembic Limited,ALEMBICLTD.NS,"['Low valuation', 'Average profitability', 'Low debt', 'Slow revenue growth']",['Stock appears undervalued']
Alicon Castalloy Limited,ALICON.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Alivus Life Sciences Limited,ALIVUS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Alkali Metals Limited,ALKALI.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']"
Alkem Laboratories Limited,ALKEM.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Alkyl Amines Chemicals Limited,ALKYLAMINE.NS,"['Low debt', 'Slow revenue growth']","['Stock may be overvalued', 'ROE data missing']"
Allcargo Logistics Limited,ALLCARGO.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing']"
Alldigi Tech Limited,ALLDIGI.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk']
All Time Plastics Limited,ALLTIME.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Almondz Global Securities Limited,ALMONDZ.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
Alok Industries Limited,ALOKINDS.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']"
Alpa Laboratories Limited,ALPA.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'Debt data missing']"
Alphageo (India) Limited,ALPHAGEO.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Alps Industries Limited,ALPSINDUS.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']"
Amanta Healthcare Limited,AMANTA.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Amber Enterprises India Limited,AMBER.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Ambika Cotton Mills Limited,AMBIKCO.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Ambuja Cements Limited,AMBUJACEM.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
AMD Industries Limited,AMDIND.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Amj Land Holdings Limited,AMJLAND.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'Debt data missing']"
Amines & Plasticizers Limited,AMNPLST.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Amrutanjan Health Care Limited,AMRUTANJAN.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'Moderate debt level']"
Anand Rathi Wealth Limited,ANANDRATHI.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Anant Raj Limited,ANANTRAJ.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
ANDHRA PAPER LIMITED,ANDHRAPAP.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
The Andhra Sugars Limited,ANDHRSUGAR.NS,"['Fair valuation', 'Low debt', 'Slow revenue growth']",['Weak profitability']
Angel One Limited,ANGELONE.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Anik Industries Limited,ANIKINDS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Ankit Metal & Power Limited,ANKITMETAL.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']"
Anmol India Limited,ANMOL.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Ansal Properties & Infrastructure Limited,ANSALAPI.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']"
Antelopus Selan Energy Limited,ANTELOPUS.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']"
Antarctica Limited,ANTGRAPHIC.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Anthem Biosciences Limited,ANTHEM.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Anuh Pharma Limited,ANUHPHR.NS,"['Fair valuation', 'Average profitability', 'Low debt', 'Slow revenue growth']",[]
The Anup Engineering Limited,ANUP.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Anupam Rasayan India Limited,ANURAS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Apar Industries Limited,APARINDS.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Anjani Portland Cement Limited,APCL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Apcotex Industries Limited,APCOTEXIND.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Apex Frozen Foods Limited,APEX.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
APL Apollo Tubes Limited,APLAPOLLO.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Alembic Pharmaceuticals Limited,APLLTD.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Apollo Micro Systems Limited,APOLLO.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Apollo Pipes Limited,APOLLOPIPE.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Apollo Tyres Limited,APOLLOTYRE.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Apollo Sindoori Hotels Limited,APOLSINHOT.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Aptech Limited,APTECHT.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Aptus Value Housing Finance India Limited,APTUS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Archidply Industries Limited,ARCHIDPLY.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Archies Limited,ARCHIES.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Amara Raja Energy & Mobility Limited,ARE&M.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Rajdarshan Industries Limited,ARENTERP.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Arfin India Limited,ARFIN.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Aries Agro Limited,ARIES.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Arihant Capital Markets Limited,ARIHANTCAP.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Arihant Superstructures Limited,ARIHANTSUP.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Arisinfra Solutions Limited,ARISINFRA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Arkade Developers Limited,ARKADE.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Arman Financial Services Limited,ARMANFIN.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Aro Granite Industries Limited,AROGRANITE.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Arrow Greentech Limited,ARROWGREEN.NS,"['Fair valuation', 'High profitability']","['High debt risk', 'Declining revenues']"
Arshiya Limited,ARSHIYA.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']"
Anand Rathi Share and Stock Brokers Limited,ARSSBL.NS,[],"['Stock may be overvalued', 'ROE data missing', 'High debt risk', 'Declining revenues']"
Artemis Medicare Services Limited,ARTEMISMED.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Art Nirman Limited,ARTNIRMAN.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Arvee Laboratories (India) Limited,ARVEE.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Arvind Limited,ARVIND.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Arvind Fashions Limited,ARVINDFASN.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Arvind SmartSpaces Limited,ARVSMART.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Asahi India Glass Limited,ASAHIINDIA.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Asahi Songwon Colors Limited,ASAHISONG.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
Automotive Stampings and Assemblies Limited,ASAL.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Associated Alcohols & Breweries Ltd.,ASALCBR.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Ashapura Minechem Limited,ASHAPURMIN.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
Ashiana Housing Limited,ASHIANA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Ashima Limited,ASHIMASYN.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Ashoka Buildcon Limited,ASHOKA.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Ashoka Metcast Limited,ASHOKAMET.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Ashok Leyland Limited,ASHOKLEY.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Asian Energy Services Limited,ASIANENE.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Asian Hotels (North) Limited,ASIANHOTNR.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Asian Paints Limited,ASIANPAINT.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Asian Granito India Limited,ASIANTILES.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
ASK Automotive Limited,ASKAUTOLTD.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Bartronics India Limited,ASMS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Moderate debt level']"
Aspinwall and Company Limited,ASPINWALL.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Astec LifeSciences Limited,ASTEC.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Aster DM Healthcare Limited,ASTERDM.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Astral Limited,ASTRAL.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Astra Microwave Products Limited,ASTRAMICRO.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
AstraZeneca Pharma India Limited,ASTRAZEN.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Astron Paper & Board Mill Limited,ASTRON.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Atal Realtech Limited,ATALREAL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Atam Valves Limited,ATAM.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Adani Total Gas Limited,ATGL.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Ather Energy Limited,ATHERENERG.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']"
Allcargo Terminals Limited,ATL.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
ATLANTAA LIMITED,ATLANTAA.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Atlanta Electricals Limited,ATLANTAELE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Atul Limited,ATUL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Atul Auto Limited,ATULAUTO.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
AU Small Finance Bank Limited,AUBANK.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'Debt data missing']"
Auri Grow India Limited,AURIGROW.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Aurionpro Solutions Limited,AURIONPRO.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Aurobindo Pharma Limited,AUROPHARMA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Aurum PropTech Limited,AURUM.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Ausom Enterprise Limited,AUSOMENT.NS,"['Low valuation', 'Average profitability', 'Low debt', 'Strong revenue growth']",['Stock appears undervalued']
Automotive Axles Limited,AUTOAXLES.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Autoline Industries Limited,AUTOIND.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Avadh Sugar & Energy Limited,AVADHSUGAR.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Avalon Technologies Limited,AVALON.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Avantel Limited,AVANTEL.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Avanti Feeds Limited,AVANTIFEED.NS,"['Fair valuation', 'High profitability', 'Low debt', 'Strong revenue growth']",[]
AVG Logistics Limited,AVG.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Aditya Vision Limited,AVL.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Avonmore Capital & Management Services Limited,AVONMORE.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
AVRO INDIA LIMITED,AVROIND.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
AVT Natural Products Limited,AVTNPL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
